Time [s],Step1,Dir1,Step2,Dir2,In ISR,Cmd Load,FIFO empty,Dbg UART,Servo,Channel 9
2.744196320,1,0,0,0,0,0,0,0,0,0
2.744196560,1,0,1,0,0,0,0,0,0,0
2.744199320,0,0,1,0,0,0,0,0,0,0
2.744199400,0,0,0,0,0,0,0,0,0,0
2.744634720,1,0,0,0,0,0,0,0,0,0
2.744634960,1,0,1,0,0,0,0,0,0,0
2.744637720,0,0,1,0,0,0,0,0,0,0
2.744637800,0,0,0,0,0,0,0,0,0,0
2.745033280,1,0,0,0,0,0,0,0,0,0
2.745033520,1,0,1,0,0,0,0,0,0,0
2.745036280,0,0,1,0,0,0,0,0,0,0
2.745036360,0,0,0,0,0,0,0,0,0,0
2.745431840,1,0,0,0,0,0,0,0,0,0
2.745432080,1,0,1,0,0,0,0,0,0,0
2.745434840,0,0,1,0,0,0,0,0,0,0
2.745434920,0,0,0,0,0,0,0,0,0,0
2.745830400,1,0,0,0,0,0,0,0,0,0
2.745830640,1,0,1,0,0,0,0,0,0,0
2.745833400,0,0,1,0,0,0,0,0,0,0
2.745833480,0,0,0,0,0,0,0,0,0,0
2.746228960,1,0,0,0,0,0,0,0,0,0
2.746229200,1,0,1,0,0,0,0,0,0,0
2.746231920,0,0,1,0,0,0,0,0,0,0
2.746232000,0,0,0,0,0,0,0,0,0,0
2.746627480,1,0,0,0,0,0,0,0,0,0
2.746627760,1,0,1,0,0,0,0,0,0,0
2.746630480,0,0,1,0,0,0,0,0,0,0
2.746630560,0,0,0,0,0,0,0,0,0,0
2.747026040,1,0,0,0,0,0,0,0,0,0
2.747026280,1,0,1,0,0,0,0,0,0,0
2.747029040,0,0,1,0,0,0,0,0,0,0
2.747029120,0,0,0,0,0,0,0,0,0,0
2.747424600,1,0,0,0,0,0,0,0,0,0
2.747424840,1,0,1,0,0,0,0,0,0,0
2.747427600,0,0,1,0,0,0,0,0,0,0
2.747427680,0,0,0,0,0,0,0,0,0,0
2.747863000,1,0,0,0,0,0,0,0,0,0
2.747863240,1,0,1,0,0,0,0,0,0,0
2.747866000,0,0,1,0,0,0,0,0,0,0
2.747866080,0,0,0,0,0,0,0,0,0,0
2.748261560,1,0,0,0,0,0,0,0,0,0
2.748261800,1,0,1,0,0,0,0,0,0,0
2.748264560,0,0,1,0,0,0,0,0,0,0
2.748264640,0,0,0,0,0,0,0,0,0,0
2.748660120,1,0,0,0,0,0,0,0,0,0
2.748660360,1,0,1,0,0,0,0,0,0,0
2.748663120,0,0,1,0,0,0,0,0,0,0
